CustomerID,Age,Gender,TenureYears,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,InternetService,TechSupport,SeniorCitizen,Partner,PaperlessBilling,Churn
CUST00001,56.0,male,5,23.68,7990.55,Two Year,Mailed Check,No,Yes,1,Yes,Yes,Yes
CUST00002,69.0,Male,9,127.71,,One Year,Bank Transfer,No,No,1,Yes,No,No
CUST00003,46.0,M,9,122.48,6140.18,One Year,Credit Card,No,No,1,No,No,No
CUST00004,32.0,male,13,53.67,,Month-to-Month,Electronic Check,Fiber Optic,Yes,0,Yes,No,Yes
CUST00005,60.0,male,10,112.13,5151.27,Month-to-Month,Mailed Check,Fiber Optic,Yes,1,Yes,Yes,Yes
CUST00006,25.0,M,5,47.93,4037.47,Two Year,Electronic Check,DSL,No,1,Yes,Yes,No
CUST00007,38.0,Male,13,25.24,5938.99,Month-to-Month,Electronic Check,Fiber Optic,No,1,No,No,Yes
CUST00008,56.0,male,8,46.15,474.17,Two Year,Mailed Check,Fiber Optic,Yes,1,No,No,No
CUST00009,36.0,Male,10,43.22,4449.84,Month-to-Month,Credit Card,No,No,0,No,No,No
CUST00010,40.0,male,7,63.91,2678.01,Two Year,Electronic Check,Fiber Optic,Yes,1,No,Yes,No
CUST00011,28.0,Female,7,74.4,2949.14,Month-to-Month,Credit Card,No,No,0,Yes,No,No
CUST00012,28.0,male,0,86.11,8649.04,Month-to-Month,Credit Card,Fiber Optic,No,0,Yes,No,No
CUST00013,41.0,M,4,81.98,1660.6,One Year,Mailed Check,DSL,No,1,No,Yes,No
CUST00014,53.0,M,6,55.19,2814.98 ,Month-to-Month,Electronic Check,No,No,1,No,Yes,No
CUST00015,57.0,Male,5,23.79,4598.84,Month-to-Month,Electronic Check,Fiber Optic,Yes,0,No,Yes,No
CUST00016,41.0,male,4,98.66,7769.98,Two Year,Mailed Check,Fiber Optic,Yes,0,Yes,No,No
CUST00017,20.0,Male,7,71.45,3761.7,One Year,Credit Card,No,No,0,No,Yes,No
CUST00018,39.0,Male,2,58.83,6699.91,Two Year,Credit Card,DSL,Yes,0,No,No,Yes
CUST00019,19.0,Female,5,132.7,7710.24,Month-to-Month,Mailed Check,DSL,Yes,1,No,No,No
CUST00020,,Female,14,117.08,2803.95,Two Year,Credit Card,Fiber Optic,No,1,Yes,No,No
